elements,formula,a,c,v,e,a1,a3,c1,c3,v1,v3,e1,e3,volt1,volt_av,deltaE1,deltaE2
"['Al', 'Al', 'Cu']",Li3Al2CuO6.xsf,2.82658,14.30019,98.945328,-654.38134264,2.84661,2.90409,13.54483,11.93797,95.051683,87.19306,-639.68689306,-610.25875009,-4.39290173219411,-4.570881567433184,-2.3235160668320787,-1.5743942332983771
"['Al', 'Al', 'Ga']",Li3Al2GaO6.xsf,2.84204,14.28174,99.901532,-666.14718848,2.88547,2.94194,13.48535,12.00272,97.235969,89.966159,-651.40671576,-621.93437325,-5.019078768091952,-4.980062473191899,-2.62471389460417,-1.8395977017415939
"['Al', 'Al', 'Mg']",Li3Al2MgO6.xsf,2.83206,14.47763,100.561634,-376.22867518,2.8807,2.99673,13.48301,12.12892,96.897729,94.329543,-361.45991788,-332.19701472,-5.4039102781985955,-4.158483321795667,-2.59523649928347,-2.074154225112738
"['Al', 'Al', 'Mn']",Li3Al2MnO6.xsf,2.78944,14.24237,95.972551,-462.15170521,2.82214,2.88323,13.80198,12.45516,95.198012,89.668489,-447.50609017,-418.08395787,-3.728473631316477,-4.322145742867792,-2.548449416539922,-1.957217307763965
"['Al', 'Al', 'Ni']",Li3Al2NiO6.xsf,2.81641,14.18661,97.454546,-594.03645825,2.82611,2.86878,13.47727,12.62074,93.220408,89.951882,-579.38080533,-549.95593256,-3.865046015232073,-4.380098541733136,-2.411138594594514,-1.7548186122149732
"['Al', 'Al', 'Sc']",Li3Al2ScO6.xsf,2.9003,14.34649,104.510765,-345.65636391,2.94398,3.04632,13.6323,11.3597,102.322159,91.29543,-330.9136504,-301.45652859,-5.049566284595365,-4.921195552696433,-2.933969006578199,-2.2715601578721216
"['Al', 'Al', 'Zn']",Li3Al2ZnO6.xsf,2.83339,14.4314,100.334489,-712.19269294,2.86432,2.92977,13.63975,11.98023,96.912614,89.056012,-697.45674544,-668.00079975,-4.957509982339431,-4.88517613998275,-2.416609395543194,-1.593753814063342
"['Ga', 'Ga', 'Al']",Li3Ga2AlO6.xsf,2.87881,14.35501,103.02886,-1074.25780058,2.91953,2.98287,13.5881,11.89304,100.303278,91.641616,-1059.52082199,-1030.05477282,-4.971538683552016,-4.935674012999967,-2.355905813259279,-1.4959830800123834
"['Ga', 'Ga', 'Mn']",Li3Ga2MnO6.xsf,2.88024,14.298,102.722156,-1278.36300466,2.94404,3.18169,12.98324,9.68222,97.454057,84.883126,-1263.73530579,-1234.35442496,-3.484711597146228,-4.053806689684875,-1.9995804895934588,-1.31483842289632
"['Ga', 'Ga', 'Ni']",Li3Ga2NiO6.xsf,2.89789,14.27559,103.821688,-1410.25662655,2.90323,2.93862,13.60357,12.42145,99.299111,92.894441,-1395.60259699,-1366.18103809,-3.8429590660808954,-4.357707051662822,-1.8723252436853264,-1.0438646410261614
