elements,formula,a,c,v,e,a1,a3,c1,c3,v1,v3,e1,e3,volt1,volt_av,deltaE1,deltaE3
"['Al', 'Mn', 'Mg']",Li3AlMnMgO6.xsf,2.83626,14.60705,101.761704,-580.38083308,2.95009,3.33411,12.65963,9.28693,95.41639,89.404956,-565.72086506,-536.38714352,-3.9237559713018726,-3.986276430419236,-2.292147808015804,-1.7274382672146598
"['Al', 'Mn', 'Ni']",Li3AlMnNiO6.xsf,2.80194,14.24172,96.830412,-798.14447599,2.80798,2.82679,14.14668,13.48147,96.599421,93.294338,-783.56932178,-754.22515152,-2.769804716586226,-3.6490133954148356,-2.0580034220842642,-1.5276667643074069
"['Al', 'Mn', 'Sc']",Li3AlMnScO6.xsf,2.90517,14.26036,104.232701,-549.76192696,2.9613,3.4504,13.04597,8.40274,99.076829,83.962047,-535.12751737,-505.82377388,-3.5760156402517875,-3.7344055351072334,-2.5780506860901267,-2.192599069751091
"['Al', 'Sc', 'Zn']",Li3AlScZnO6.xsf,2.94128,14.48613,108.531857,-799.82214136,2.97687,3.41802,13.6897,8.5087,105.061847,86.088247,-785.08494562,-755.68276191,-4.974493161307368,-4.647014075877289,-2.4680100237616753,-1.741675339723137
"['Mn', 'Cr', 'Co']",Li3MnCrCoO6.xsf,2.7552,14.39953,94.663792,-921.87927671,2.76064,2.75193,14.40373,14.6265,95.066054,95.928102,-907.30041261,-878.11012851,-2.8202803669589795,-2.9679289698352846,-1.8609601728792988,-1.4919705738939704
"['Mn', 'Cr', 'Ni']",Li3MnCrNiO6.xsf,2.76568,14.50143,96.060451,-966.61929321,2.76658,2.75338,14.43716,14.72625,95.697247,96.684159,-952.04693061,-922.88063279,-2.731822908408802,-2.8296597737197513,-1.7648719546497678,-1.40994268162644
"['Mn', 'Cu', 'V']",Li3MnCuVO6.xsf,2.81797,14.53671,99.969888,-996.68131407,2.81778,2.81362,14.28422,14.27484,98.220209,97.865959,-982.07678573,-952.88992624,-3.1694603171265596,-3.068790881132033,-1.843888503005228,-1.4355877102962928
"['Mn', 'Cu', 'Zn']",Li3MnCuZnO6.xsf,2.8723,14.4696,103.382621,-1312.67079731,2.88106,2.892,13.67514,12.95068,98.303139,93.803636,-1297.97108329,-1268.69421651,-4.464528123500822,-3.908684211775046,-1.5221767604246939,-0.7266742766412432
"['Mn', 'Ti', 'Co']",Li3MnTiCoO6.xsf,2.82339,14.29062,98.655943,-865.86715005,2.84554,2.85837,14.14355,14.27509,99.178569,101.005764,-851.30190008,-822.13485935,-2.635050598417102,-2.800771607251452,-2.12701026356357,-1.9024231490009424
"['Mn', 'Ti', 'Cr']",Li3MnTiCrO6.xsf,2.7904,14.6354,98.689032,-743.08549858,2.82746,2.84667,14.40895,14.69459,99.759877,103.124906,-728.54302092,-699.4032126,-2.3252173802509644,-2.573988534284207,-2.2240251433440568,-2.1073706796973397
"['Mn', 'Ti', 'Cu']",Li3MnTiCuO6.xsf,2.86993,14.46781,103.198938,-970.97007451,2.9176,2.89744,13.42545,14.14868,98.971598,102.866893,-956.37677492,-927.20034175,-3.0166853132517426,-2.970580085832586,-1.9637347914342425,-1.6281196933014614
"['Mn', 'Ti', 'Ni']",Li3MnTiNiO6.xsf,2.84119,14.36635,100.433068,-910.61099124,2.85497,2.86226,14.16242,14.33418,99.970084,101.700078,-896.05052656,-866.90678901,-2.569943378264476,-2.6733838418253755,-2.0352585107284415,-1.8225500670294634
"['Mn', 'Ti', 'Zn']",Li3MnTiZnO6.xsf,2.8968,14.71891,106.965344,-1028.8181329,3.0047,2.92365,12.84872,13.78111,100.459892,102.015297,-1014.19849169,-984.94766437,-3.3750814924847297,-3.4274403077951994,-2.0984480584879037,-1.6554506420521384
"['Mn', 'Zn', 'V']",Li3MnZnVO6.xsf,2.84385,14.71174,103.04083,-1054.52366817,2.84835,2.84235,14.16766,13.99591,99.544398,97.923383,-1039.86648111,-1010.63234999,-3.8859190638314804,-3.521998335464317,-1.9721341985213519,-1.4555128195403635
