elements,structure,a,c,v,e,a1,a3,c1,c3,v1,v3,e1,e3,deltaE1,deltaE3,volt1,volt_av
Mg,Li3Mg3O6.xsf,3.01406,14.38692,113.188142,-613.9435198,3.1585,3.45162,12.48851,10.32558,107.895111,106.535122,-599.11485043,-569.52110796,-1.899586242130965,-1.018641842579667,-4.8308433643637825,-4.542419440784859
Al,Li3Al3O6.xsf,2.82949,14.34526,99.461306,-258.84168992,2.87052,2.92898,13.75305,12.99032,98.141296,96.512782,-244.00339407,-214.3448297,-2.7540407784088394,-2.0453676327538903,-4.961818363300672,-4.880060215373685
Ca,Li3Ca3O6.xsf,3.36908,14.79534,145.437992,-462.79869096,3.78759,3.82502,10.57688,9.78889,131.405709,124.031073,-448.03053611,-418.56081677,-2.229064872254005,-1.736920449922026,-4.007500959600195,-3.705498139249942
Sc,Li3Sc3O6.xsf,3.11452,14.77749,124.140803,-521.92750826,3.18573,3.5882,13.82902,8.85786,121.545844,98.767431,-507.11670935,-477.59710978,-3.0036356612034023,-2.6298084204709316,-4.58770324674201,-4.125117383400814
Ti,Li3Ti3O6.xsf,2.91351,14.96165,109.987204,-596.41854551,2.95805,2.99332,14.81462,15.60042,112.261537,121.052162,-581.81562527,-552.60210644,-2.678868333509746,-2.973760599616811,-1.7593684263220506,-1.7941915351885527
V,Li3V3O6.xsf,2.82127,14.92865,102.905788,-673.52492692,2.83702,2.84178,15.17549,15.83969,105.77884,110.778964,-658.8953511,-629.60290349,-2.3237851819090647,-2.3406998278323976,-2.122036251129741,-2.273041244139066
Cr,Li3Cr3O6.xsf,2.75705,14.9749,98.578664,-764.45279092,2.78313,2.75873,15.1886,16.01329,101.886203,105.543207,-749.80114309,-720.46319755,-1.8857142955890815,-1.6544568313326447,-2.422341397586578,-2.5794866883583927
Mn,Li3Mn3O6.xsf,2.76203,14.77345,97.604583,-871.43597187,2.82523,2.79182,14.96525,15.63641,103.447745,105.546234,-856.77444039,-827.40196562,-1.7249825819803695,-1.3730069552526118,-2.5568153743916615,-2.780909462163643
Co,Li3Co3O6.xsf,2.84743,14.0092,98.367247,-1133.13240212,2.83559,2.81711,14.1088,14.63218,98.244173,100.565405,-1118.42770585,-1088.97583771,-1.598092972252578,-1.0185441914473246,-3.144102557696095,-3.3367393146683377
Ni,Li3Ni3O6.xsf,2.88941,14.23726,102.938227,-1267.29616793,2.86718,2.82546,14.2418,14.81076,101.392369,102.396773,-1252.60365361,-1223.22434786,-1.3172629057255956,-0.7722158879382011,-2.9783586005778258,-2.952403959087779
Cu,Li3Cu3O6.xsf,2.93347,14.45226,107.703223,-1448.58310746,2.93467,2.92586,13.98987,13.88655,104.343178,102.951102,-1433.8286616,-1404.33172144,-1.06774301868315,-0.16806487789056196,-3.820980554357998,-3.7667774410609147
Zn,Li3Zn3O6.xsf,2.96844,14.73584,112.450439,-1622.14022748,3.00066,3.09492,13.84234,11.56873,107.93779,95.965583,-1607.32029767,-1577.70659677,-1.349339647355019,-0.26801965181630477,-4.71193553287359,-4.593299633971162
Ga,Li3Ga3O6.xsf,2.94943,14.59696,109.968755,-1484.08703203,2.99086,3.05846,14.01539,12.41899,108.574777,100.605607,-1469.26095988,-1439.61351572,-1.9414147898690632,-0.997156340954786,-4.795506368211544,-4.774190136611894
Nb,Li3Nb3O6.xsf,2.8993,16.04237,116.784337,-592.06168625,2.97442,3.06821,15.71908,15.83976,120.437445,129.136972,-577.44291586,-548.25674485,-2.2402312629913927,-2.4062927110056216,-1.9750208121786745,-1.7420469189487058
