elements,volt_av,deltaE1,deltaE3,a,a3,delta_a,c,c3,delta_c,v,v3,delta_v,volt1,structure
Mg,4.187522692943372,-1.9970418417140607,-1.2668815579709574,2.98235,3.46345,16.131574094254535,14.16993,8.51232,-39.92687331553508,109.148197,88.429357,-18.98230164993014,-4.868521765431939,Li3Mg3O6.xsf
Al,5.033110099740797,-2.901662810487172,-2.191180380735963,2.80562,2.90791,3.645896450695406,14.18373,12.03086,-15.17844741827432,96.68964,88.102896,-8.88072806972908,-5.126675636946593,Li3Al3O6.xsf
Ca,3.8395618134953433,-2.058898682813235,-1.4653443059191986,3.33127,3.77352,13.275717669237258,14.39331,9.59075,-33.366612683253535,138.328496,118.270721,-14.500103434942288,-3.922746428363029,Li3Ca3O6.xsf
Sc,4.1516828754695965,-3.142941129790204,-2.806693881230406,3.08281,3.54883,15.116727920306484,14.55766,8.72879,-40.03988278335942,119.816563,95.204215,-20.54169088458997,-4.73371621771778,Li3Sc3O6.xsf
Ti,1.9610867159328,-2.8317284523763173,-3.121942364524157,2.87715,2.96327,2.9932398380341727,14.78041,14.45122,-2.227204793371771,105.960292,109.894602,3.713004112899208,-1.9560318809158284,Li3Ti3O6.xsf
V,2.407110814187837,-2.4790856361348315,-2.5030772434504964,2.78295,2.80337,0.733753750516542,14.76341,14.84567,0.5571883460528413,99.021355,101.039551,2.0381421765032437,-2.2665885141525277,Li3V3O6.xsf
Cr,2.6850145384132147,-2.0274941648064084,-1.8083207069374727,2.71204,2.71725,0.1921063111163529,14.85425,15.18847,2.2499957924499734,94.617887,97.118988,2.6433701695325387,-2.556368018975118,Li3Cr3O6.xsf
Mn,2.874135627859287,-1.8587432742938128,-1.5202791564386549,2.72396,2.73858,0.5367186008605066,14.62258,14.94215,2.1854556446263285,93.963071,97.049454,3.284676593850363,-2.7041261930890568,Li3Mn3O6.xsf
Co,3.3900532501176595,-1.7173778375331088,-1.159819366671592,2.81375,2.7815,-1.1461572634384836,13.7918,13.57539,-1.5691207819138893,94.563003,90.957736,-3.812555529777325,-3.1949088265767425,Li3Co3O6.xsf
Ni,3.010372812679614,-1.43895529678659,-0.9151494581555818,2.85103,2.78936,-2.1630779051781404,14.04899,14.01083,-0.2716209492639651,98.895951,94.407106,-4.538957312822643,-3.0271652397348467,Li3Ni3O6.xsf
Cu,3.82329946451369,-1.1894040996271236,-0.3114389779982681,2.89216,2.88985,-0.079871099800842,14.25611,12.44895,-12.676389281508069,103.27025,90.035619,-12.815531094385854,-3.869768825816276,Li3Cu3O6.xsf
Zn,4.638125336009266,-1.4731906224044422,-0.4182123845361676,2.92561,3.05594,4.454797461042323,14.51925,11.08883,-23.626702481188765,107.623852,89.68193,-16.670953200968874,-4.766499696093102,Li3Zn3O6.xsf
Ga,4.895657880558565,-2.0951549707638595,-1.161654000832291,2.91635,3.02548,3.742006274966995,14.4128,11.78041,-18.26425122113677,106.159122,93.385646,-12.032386628065748,-4.95504068384736,Li3Ga3O6.xsf
Nb,1.9258026913040909,-2.390679221635968,-2.545638065079926,2.86601,3.0348,5.889372332964643,15.85994,14.59034,-8.005074420205881,112.82042,116.373739,3.1495353412086238,-2.166106882170824,Li3Nb3O6.xsf
