elements,volt_av,deltaE1,deltaE3,a,a3,delta_a,c,c3,delta_c,v,v3,delta_v,volt1,structure
"['Al', 'Al', 'Cu']",4.570881567433184,-2.3235160668320787,-1.5743942332983771,2.82658,2.90409,2.7421831329734236,14.30019,11.93797,-16.518801498441633,98.945328,87.19306,-11.877537057636518,-4.39290173219411,Li3Al2CuO6.xsf
"['Al', 'Al', 'Ga']",4.980062473191899,-2.62471389460417,-1.8395977017415936,2.84204,2.94194,3.51508071666832,14.28174,12.00272,-15.957579398588683,99.901532,89.966159,-9.945165805865718,-5.019078768091952,Li3Al2GaO6.xsf
"['Al', 'Al', 'Mg']",4.158483321795667,-2.59523649928347,-2.074154225112738,2.83206,2.99673,5.8144954556047574,14.47763,12.12892,-16.223028216634898,100.561634,94.329543,-6.197284940696168,-5.403910278198596,Li3Al2MgO6.xsf
"['Al', 'Al', 'Mn']",4.322145742867792,-2.548449416539922,-1.957217307763965,2.78944,2.88323,3.3623236205116536,14.24237,12.45516,-12.548543535942404,95.972551,89.668489,-6.568609393325391,-3.728473631316477,Li3Al2MnO6.xsf
"['Al', 'Al', 'Ni']",4.380098541733136,-2.411138594594514,-1.7548186122149732,2.81641,2.86878,1.859459382689319,14.18661,12.62074,-11.037661569606836,97.454546,89.951882,-7.6986290613882655,-3.865046015232073,Li3Al2NiO6.xsf
"['Al', 'Al', 'Sc']",4.921195552696433,-2.933969006578199,-2.2715601578721216,2.9003,3.04632,5.034651587766784,14.34649,11.3597,-20.818959898902097,104.510765,91.29543,-12.644950977059644,-5.049566284595365,Li3Al2ScO6.xsf
"['Al', 'Al', 'Zn']",4.88517613998275,-2.416609395543194,-1.593753814063342,2.83339,2.92977,3.401579027242981,14.4314,11.98023,-16.984977202489013,100.334489,89.056012,-11.240877501254836,-4.957509982339431,Li3Al2ZnO6.xsf
"['Ga', 'Ga', 'Al']",4.935674012999967,-2.355905813259279,-1.4959830800123834,2.87881,2.98287,3.614688013450003,14.35501,11.89304,-17.150597596239926,103.02886,91.641616,-11.052479858556133,-4.971538683552016,Li3Ga2AlO6.xsf
"['Ga', 'Ga', 'Mn']",4.053806689684875,-1.9995804895934588,-1.31483842289632,2.88024,3.18169,10.466141710413021,14.298,9.68222,-32.28269688068262,102.722156,84.883126,-17.366292428675266,-3.484711597146228,Li3Ga2MnO6.xsf
"['Ga', 'Ga', 'Ni']",4.357707051662822,-1.8723252436853264,-1.0438646410261614,2.89789,2.93862,1.4055053849524977,14.27559,12.42145,-12.988184726515678,103.821688,92.894441,-10.525013810216603,-3.842959066080896,Li3Ga2NiO6.xsf
"['Mg', 'Mg', 'Cu']",4.309961521051806,-1.7546731786201477,-0.9029103978095948,2.92201,3.43941,17.706989366908388,14.52476,8.37363,-42.349271175565036,107.399928,85.785306,-20.12535986057644,-4.695040790954777,Li3Mg2CuO6.xsf
"['Mg', 'Mg', 'Sc']",4.175139283678631,-2.373452024438433,-1.7728896046917004,3.03564,3.49669,15.187901068637922,14.23888,8.58687,-39.69420347667794,113.633832,90.92441,-19.984736587955606,-4.897743951833132,Li3Mg2ScO6.xsf
"['Mg', 'Mg', 'Zn']",4.323774435862389,-1.826790599641141,-0.9944626542340588,2.95022,3.4611,17.316674688667295,14.42078,8.45128,-41.395125645076064,108.699634,87.675889,-19.341136880000906,-4.933426260654612,Li3Mg2ZnO6.xsf
"['Mn', 'Mn', 'Al']",3.614373691385966,-2.1980672440438096,-1.7259650949297578,2.76017,2.82243,2.2556581659825374,14.39529,13.70693,-4.781841838545798,94.978217,94.562117,-0.4381004541283399,-3.5529528902959178,Li3Mn2AlO6.xsf
"['Mn', 'Mn', 'Cu']",3.1939328443636046,-1.6252618714468736,-1.1023715471412965,2.80387,2.79273,-0.39730800643395403,14.42545,14.49575,0.48733315078558787,98.214692,97.910616,-0.3096033738007292,-3.241308617401521,Li3Mn2CuO6.xsf
