elements,volt_av,deltaE1,deltaE3,a,a3,delta_a,c,c3,delta_c,v,v3,delta_v,volt1,structure
"['Al', 'Mn', 'Mg']",3.986276430419236,-2.292147808015804,-1.7274382672146598,2.83626,3.33411,17.553045207421047,14.60705,9.28693,-36.42159094409891,101.761704,89.404956,-12.142827325297143,-3.9237559713018726,Li3AlMnMgO6.xsf
"['Al', 'Mn', 'Ni']",3.649013395414836,-2.058003422084264,-1.5276667643074069,2.80194,2.82679,0.8868855150360042,14.24172,13.48147,-5.338189488348323,96.830412,93.294338,-3.651821702462651,-2.769804716586226,Li3AlMnNiO6.xsf
"['Al', 'Mn', 'Sc']",3.7344055351072334,-2.5780506860901267,-2.192599069751091,2.90517,3.4504,18.767576424099108,14.26036,8.40274,-41.07624211450483,104.232701,83.962047,-19.447499494424505,-3.5760156402517875,Li3AlMnScO6.xsf
"['Al', 'Sc', 'Zn']",4.647014075877289,-2.4680100237616758,-1.741675339723137,2.94128,3.41802,16.20858945765109,14.48613,8.5087,-41.26312548624098,108.531857,86.088247,-20.67928313435198,-4.974493161307368,Li3AlScZnO6.xsf
"['Mn', 'Cr', 'Co']",2.9679289698352846,-1.8609601728792988,-1.4919705738939704,2.7552,2.75193,-0.11868466898953478,14.39953,14.6265,1.5762320020167302,94.663792,95.928102,1.3355792888583997,-2.8202803669589795,Li3MnCrCoO6.xsf
"['Mn', 'Cr', 'Ni']",2.8296597737197517,-1.7648719546497678,-1.40994268162644,2.76568,2.75338,-0.4447369182262662,14.50143,14.72625,1.550329864020315,96.060451,96.684159,0.6492869786755358,-2.731822908408802,Li3MnCrNiO6.xsf
"['Mn', 'Cu', 'V']",3.068790881132033,-1.843888503005228,-1.4355877102962928,2.81797,2.81362,-0.15436644109057499,14.53671,14.27484,-1.8014392527607694,99.969888,97.865959,-2.1045627259280253,-3.16946031712656,Li3MnCuVO6.xsf
"['Mn', 'Cu', 'Zn']",3.908684211775046,-1.522176760424694,-0.7266742766412432,2.8723,2.892,0.6858615047174679,14.4696,12.95068,-10.497318516061258,103.382621,93.803636,-9.265566018102794,-4.464528123500822,Li3MnCuZnO6.xsf
"['Mn', 'Ti', 'Co']",2.800771607251452,-2.12701026356357,-1.9024231490009424,2.82339,2.85837,1.2389361724735164,14.29062,14.27509,-0.10867268180106981,98.655943,101.005764,2.3818342094201115,-2.635050598417102,Li3MnTiCoO6.xsf
"['Mn', 'Ti', 'Cr']",2.573988534284207,-2.2240251433440568,-2.10737067969734,2.7904,2.84667,2.0165567660550474,14.6354,14.69459,0.4044303537996856,98.689032,103.124906,4.494799381556401,-2.3252173802509644,Li3MnTiCrO6.xsf
"['Mn', 'Ti', 'Cu']",2.970580085832586,-1.9637347914342425,-1.6281196933014614,2.86993,2.89744,0.9585599648771894,14.46781,14.14868,-2.205793413101219,103.198938,102.866893,-0.3217523420638241,-3.0166853132517426,Li3MnTiCuO6.xsf
"['Mn', 'Ti', 'Ni']",2.6733838418253755,-2.035258510728441,-1.8225500670294636,2.84119,2.86226,0.7415906715143978,14.36635,14.33418,-0.22392604941408706,100.433068,101.700078,1.261546645174674,-2.569943378264476,Li3MnTiNiO6.xsf
"['Mn', 'Ti', 'Zn']",3.4274403077952,-2.098448058487904,-1.6554506420521384,2.8968,2.92365,0.9268848384424206,14.71891,13.78111,-6.371395707970219,106.965344,102.015297,-4.627711008903966,-3.3750814924847297,Li3MnTiZnO6.xsf
"['Mn', 'Zn', 'V']",3.521998335464317,-1.972134198521352,-1.4555128195403635,2.84385,2.84235,-0.05274539796402963,14.71174,13.99591,-4.86570589202909,103.04083,97.923383,-4.966426415625727,-3.88591906383148,Li3MnZnVO6.xsf
