formula,a,c,v,e,a1,a3,c1,c3,v1,v3,e1,e3,da1,da3,dc1,dc3,dv1,dv3
Li3Mg3O6.xsf,2.98235,14.16993,109.148197,-612.6114407,3.13452,3.46345,12.15966,8.51232,103.465163,88.429357,-597.88203371,-568.57337718,5.102352171944955,16.131574094254535,-14.186873188505519,-39.926873315535076,-5.2067135841007,-18.98230164993014
Li3Al3O6.xsf,2.80562,14.18373,96.68964,-258.04375646,2.84635,2.90791,13.42188,12.03086,94.171668,88.102896,-243.29537552,-213.81924445,1.451729029590621,3.645896450695406,-5.371295138866863,-15.178447418274319,-2.6041797239083735,-8.88072806972908
Li3Ca3O6.xsf,3.33127,14.39331,138.328496,-461.85078814,3.77144,3.77352,10.13517,9.59075,124.846621,118.270721,-447.19089432,-417.88944854,13.213279019713207,13.275717669237258,-29.584160974786197,-33.366612683253535,-9.746274549243997,-14.500103434942288
Li3Sc3O6.xsf,3.08281,14.55766,119.816563,-521.00890168,3.16689,3.54883,13.28214,8.72879,115.362704,95.204215,-506.28940271,-476.97874069,2.7273818367009373,15.116727920306484,-8.761847714536541,-40.03988278335942,-3.7172314815940832,-20.54169088458997
Li3Ti3O6.xsf,2.87715,14.78041,105.960292,-595.44180317,2.91972,2.96327,14.59748,14.45122,107.768159,109.894602,-580.92646013,-551.89465948,1.4795891767895313,2.9932398380341727,-1.2376517295528386,-2.227204793371771,1.7061740448959897,3.7130041128992084
Li3V3O6.xsf,2.78295,14.76341,99.021355,-672.58160405,2.79821,2.80337,14.63085,14.84567,99.210936,101.039551,-658.04343553,-628.93611391,0.5483389927954168,0.733753750516542,-0.8978955403934442,0.5571883460528413,0.19145466147176435,2.0381421765032433
Li3Cr3O6.xsf,2.71204,14.85425,94.617887,-763.47281715,2.73878,2.71725,14.74317,15.18847,95.771484,97.118988,-748.91335024,-719.7660504,0.9859736582056389,0.1921063111163529,-0.7477994513354843,2.2499957924499734,1.2192166159872129,2.6433701695325387
Li3Mn3O6.xsf,2.72396,14.62258,93.963071,-870.38235004,2.76366,2.73858,14.35111,14.94215,94.92639,97.049454,-855.81202311,-826.63388288,1.457436966768963,0.5367186008605066,-1.8565123254582911,2.1854556446263285,1.0252102126376845,3.284676593850363
Li3Co3O6.xsf,2.81375,13.7918,94.563003,-1131.80095065,2.8002,2.7815,13.79083,13.57539,93.648314,90.957736,-1117.19455188,-1087.93872581,-0.48156374944470526,-1.1461572634384836,-0.007033164634062135,-1.5691207819138893,-0.9672799836950987,-3.8125555297773253
Li3Ni3O6.xsf,2.85103,14.04899,98.895951,-1266.02968073,2.82879,2.78936,13.72874,14.01083,95.139724,94.407106,-1251.43561088,-1222.25117384,-0.7800689575346467,-2.1630779051781404,-2.2795232966925005,-0.2716209492639651,-3.798160553610527,-4.538957312822643
Li3Cu3O6.xsf,2.89216,14.25611,103.27025,-1447.07607873,2.89485,2.88985,13.57987,12.44895,98.555014,90.035619,-1432.42007869,-1403.11832491,0.09301006859924275,-0.07987109980084207,-4.74350997572269,-12.676389281508067,-4.5659190328289165,-12.815531094385854
Li3Zn3O6.xsf,2.92561,14.51925,107.623852,-1620.51410432,2.95824,3.05594,13.46871,11.08883,102.076178,89.68193,-1605.79219581,-1576.3766848,1.115322958289046,4.454797461042323,-7.235497701327546,-23.626702481188765,-5.154688200530121,-16.670953200968874
Li3Ga3O6.xsf,2.91635,14.4128,106.159122,-1482.37551903,2.95699,3.02548,13.63826,11.78041,103.273874,93.385646,-1467.63975302,-1438.18131466,1.3935227253244564,3.742006274966995,-5.373973134991119,-18.26425122113677,-2.7178521691239967,-12.032386628065748
Li3Nb3O6.xsf,2.86601,15.85994,112.82042,-591.37976998,2.94056,3.0348,15.50894,14.59034,116.137614,116.373739,-576.84898672,-547.84040627,2.601177246415745,5.889372332964643,-2.2131231265691995,-8.005074420205881,2.9402425553813756,3.1495353412086233
