element,energy,natom,Eper_atom,structure,deltaE1,deltaE3,volt1,volt_av
Mg,-250.23471594,2,-125.11735797,Li3Mg3O6.xsf,-1.9970418417140612,-1.2668815579709574,-4.868521765431939,-4.1875226929433715
Al,-26.64870546,4,-6.662176365,Li3Al3O6.xsf,-2.901662810487172,-2.191180380735963,-5.126675636946593,-5.033110099740797
Ca,-299.3824862,4,-74.84562155,Li3Ca3O6.xsf,-2.058898682813235,-1.4653443059191986,-3.922746428363029,-3.8395618134953433
Sc,-188.49258058,2,-94.24629029,Li3Sc3O6.xsf,-3.142941129790204,-2.806693881230406,-4.73371621771778,-4.1516828754695965
Ti,-357.44625674,3,-119.14875224666667,Li3Ti3O6.xsf,-2.8317284523763173,-3.121942364524157,-1.9560318809158284,-1.9610867159327998
V,-579.86277692,4,-144.96569423,Li3V3O6.xsf,-2.4790856361348315,-2.5030772434504964,-2.2665885141525273,-2.407110814187837
Cr,-350.79106128,2,-175.39553064,Li3Cr3O6.xsf,-2.0274941648064084,-1.8083207069374732,-2.556368018975118,-2.6850145384132147
Mn,-422.16330685,2,-211.081653425,Li3Mn3O6.xsf,-1.8587432742938128,-1.5202791564386549,-2.7041261930890568,-2.874135627859287
Co,-1193.05099045,4,-298.2627476125,Li3Co3O6.xsf,-1.7173778375331088,-1.1598193666715921,-3.1949088265767425,-3.3900532501176595
Ni,-1372.35004926,4,-343.087512315,Li3Ni3O6.xsf,-1.43895529678659,-0.9151494581555818,-3.0271652397348467,-3.010372812679614
Cu,-1614.03871324,4,-403.50967831,Li3Cu3O6.xsf,-1.1894040996271236,-0.3114389779982681,-3.869768825816276,-3.82329946451369
Zn,-922.4778437,2,-461.23892185,Li3Zn3O6.xsf,-1.4731906224044422,-0.41821238453616766,-4.766499696093102,-4.638125336009266
Ga,-3320.0789816,8,-415.0098727,Li3Ga3O6.xsf,-2.0951549707638595,-1.1616540008322913,-4.95504068384736,-4.895657880558565
Nb,-235.8488144,2,-117.9244072,Li3Nb3O6.xsf,-2.3906792216359674,-2.5456380650799266,-2.166106882170824,-1.9258026913040907
